	WORD	SENTENCE	IA_LABEL	SKIPPED	FFD	LGFFD	SFD	LGSFD	TFD	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	RPD	IA_FIRST_RUN_LANDING_POSITION	ODOL	SCD_TO	SCD_FROM	CSCD_TO	CSCD_FROM
848	865	51	細路仔。	0.17391304347826086	187.89473684210526	5.153209733097885	159.0	4.946269843456542	230.47826086956522	0.2631578947368421	0.2631578947368421	0.21052631578947367	0.2631578947368421	0.2631578947368421	0.3157894736842105	5.522448011721723	34.68421052631579	46	3.6153846153846154	3.6666666666666665	6.3125	11.75
849	866	52	我	0.8260869565217391	157.25	4.995028658947831	200.0	5.298317366548036	36.04347826086956	0.25	0.25	0.0	0.0	0.0	0.0	5.171500210532175	38.25	48	3.0	1.0	4.0	1.0
850	867	52	定	0.4782608695652174	217.41666666666666	5.321151515780141	138.5	4.509710983978355	141.17391304347825	0.8333333333333334	0.9166666666666666	0.0	0.0	0.25	0.25	5.6006327984319455	17.308333333333334	50	5.5	2.0	11.0	1.7142857142857142
851	868	52	一	0.30434782608695654	212.875	5.285253832394062	263.5	5.458330980959338	226.8695652173913	0.3125	0.375	0.3125	0.3125	0.375	0.375	5.679980898725638	16.28125	52	4.555555555555555	4.181818181818182	8.307692307692308	11.916666666666666
852	869	52	定	0.5217391304347826	161.0909090909091	5.020889029806528	95.33333333333333	4.3896064636637115	131.6086956521739	0.36363636363636365	0.36363636363636365	0.18181818181818182	0.2727272727272727	0.45454545454545453	0.6363636363636364	5.762245077218821	15.02727272727273	54	3.7142857142857144	3.6666666666666665	7.111111111111111	6.777777777777778
853	870	52	神，	0.7391304347826086	153.66666666666666	4.846620474983642	0.0	0.0	40.08695652173913	0.5	0.5	0.0	0.0	0.16666666666666666	0.16666666666666666	5.1672500784346935	19.066666666666666	56	2.3333333333333335	2.0	5.0	4.0
854	871	52	魂魄	0.17391304347826086	197.52631578947367	5.161646708831068	229.27272727272728	5.347108755214397	333.0	0.6842105263157895	0.9473684210526315	0.10526315789473684	0.10526315789473684	0.3157894736842105	0.3684210526315789	5.39552532054562	53.45263157894736	58	3.8333333333333335	4.428571428571429	7.714285714285714	6.3125
855	872	52	返	0.391304347826087	267.85714285714283	5.511022000200147	243.5	5.427354999329203	246.1304347826087	0.5	0.5	0.2857142857142857	0.2857142857142857	0.6428571428571429	0.7857142857142857	6.016664145454811	14.171428571428569	60	3.6666666666666665	2.75	3.888888888888889	4.0
856	873	52	晒	0.43478260869565216	220.92307692307693	5.280033945617069	177.0	5.152850732571546	180.08695652173913	0.07692307692307693	0.07692307692307693	0.38461538461538464	0.38461538461538464	0.5384615384615384	0.6153846153846154	5.873766910477484	11.553846153846154	62	4.666666666666667	3.9	7.9	9.363636363636363
857	874	52	嚟	0.7391304347826086	223.16666666666666	5.369987780986442	193.0	4.847123453195455	90.47826086956522	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.8333333333333334	5.7380749891617056	15.066666666666665	64	5.0	4.5	12.25	10.5
858	875	52	之後，	0.5217391304347826	175.36363636363637	5.104426670394883	336.0	5.817111159963204	98.47826086956522	0.18181818181818182	0.18181818181818182	0.18181818181818182	0.18181818181818182	0.2727272727272727	0.2727272727272727	5.44128432702643	20.536363636363635	66	2.857142857142857	3.5714285714285716	5.3	8.0
