	WORD	SENTENCE	IA_LABEL	SKIPPED	FFD	LGFFD	SFD	LGSFD	TFD	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	RPD	IA_FIRST_RUN_LANDING_POSITION	ODOL	SCD_TO	SCD_FROM	CSCD_TO	CSCD_FROM
2404	2446	136	得知	0.2608695652173913	202.88235294117646	5.269206526210821	144.28571428571428	4.88010305081428	238.7391304347826	0.5294117647058824	0.5882352941176471	0.0	0.0	0.23529411764705882	0.23529411764705882	5.654824513963536	24.829411764705885	54	1.375	2.9	2.090909090909091	1.75
2405	2447	136	猢猻樹	0.43478260869565216	409.05	8.880138790775872	319.375	7.081439059139579	780.8695652173913	0.7	0.85	0.25	0.25	0.3	0.4	9.514679707073167	14.02	70	-1.0	-1.0	-1.0	-1.0
2406	2448	136	原來	0.0	200.0	5.185244607410352	172.30769230769232	5.0621534910158195	314.2608695652174	0.4782608695652174	0.5217391304347826	0.21739130434782608	0.21739130434782608	0.6086956521739131	0.6521739130434783	5.9610874453205875	22.460869565217394	57	3.25	4.555555555555555	1.6666666666666667	4.4375
2407	2449	136	有	0.5217391304347826	139.72727272727272	4.8859118865250295	160.5	5.0667383495379985	104.65217391304348	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.6363636363636364	0.6363636363636364	0.7272727272727273	6.062478206109117	16.672727272727272	58	4.666666666666667	2.5	2.2222222222222223	2.8333333333333335
2408	2450	136	幾	0.4782608695652174	171.66666666666666	5.009267998419083	274.0	5.612801663866998	113.3913043478261	0.16666666666666666	0.16666666666666666	0.25	0.25	0.4166666666666667	0.4166666666666667	5.510749194461089	18.016666666666666	59	6.0	2.857142857142857	5.555555555555555	4.428571428571429
2409	2451	136	咁	0.5652173913043478	239.3	5.439942218433062	181.33333333333334	5.165484886950513	141.7826086956522	0.3	0.3	0.4	0.4	0.5	0.6	6.081483052134043	15.459999999999999	60	3.5	3.142857142857143	3.6666666666666665	3.2857142857142856
2410	2452	136	可怕。	0.5652173913043478	184.0	5.1133781232518905	166.0	5.023079151850145	100.0	0.1	0.1	0.2	0.2	0.3	0.4	5.2742867089487095	17.42	61	4.285714285714286	4.0	4.285714285714286	3.2
2411	2453	137	其實	0.4782608695652174	189.75	5.160329821528799	168.75	5.104156651921882	128.34782608695653	0.6666666666666666	0.75	0.08333333333333333	0.08333333333333333	0.3333333333333333	0.3333333333333333	5.423170506992469	59.900000000000006	62	2.0	2.3333333333333335	1.0	1.7777777777777777
2412	2454	137	都	0.34782608695652173	212.86666666666667	5.274671545531466	159.33333333333334	5.059038885494777	159.6086956521739	0.8	0.8	0.06666666666666667	0.06666666666666667	0.2	0.2	5.58728927663871	13.773333333333335	63	3.2	5.666666666666667	2.0	2.6923076923076925
2413	2455	137	係	0.391304347826087	240.78571428571428	5.360604930708184	267.2	5.536380292364321	232.3913043478261	0.7142857142857143	1.0	0.0	0.0	0.35714285714285715	0.42857142857142855	5.627192460181746	15.521428571428569	64	3.4285714285714284	3.8	2.0	2.357142857142857
2414	2456	137	多	0.30434782608695654	322.25	5.642184474712218	262.6	5.492425257558429	289.4347826086956	0.375	0.375	0.25	0.25	0.5625	0.625	6.500929390541112	14.05625	65	2.75	4.0	1.2727272727272727	3.5714285714285716
